Campo / Tag XML,Descrição do Código,Tipo,Tamanho (Nº Caracteres),Exemplo de Preenchimento / Valor,Fonte
CST-IBS/CBS,Tributação integral,Numérico,3,000,6
cClassTrib,"Exploração de via, observado o art. 11 da Lei Complementar nº 214, de 2025.",Numérico,6,000002,6
cClassTrib,"Regime automotivo - projetos incentivados, observado o art. 311 da Lei Complementar nº 214, de 2025.",Numérico,6,000003,6
cClassTrib,"Regime automotivo - projetos incentivados, observado o art. 312 da Lei Complementar nº 214, de 2025.",Numérico,6,000004,6
cClassTrib,Operações do FGTS não realizadas pela Caixa Econômica Federal,Numérico,6,010001,6
cClassTrib,"Planos de assistência funerária, observado o art. 236 da Lei Complementar nº 214, de 2025.",Numérico,6,011001,6
cClassTrib,Serviços de transporte de bens até as zonas de processamento de exportação,Numérico,6,200001,6
cClassTrib,Vendas de produtos destinados à alimentação humana (Cesta Básica),Numérico,6,200003,6
cClassTrib,Fornecimento de dispositivos médicos (Anexo XII),Numérico,6,200004,6
cClassTrib,Fornecimento dos medicamentos registrados na Anvisa,Numérico,6,200009,6
cClassTrib,"Fornecimento de tampões higiênicos, absorventes higiênicos internos ou externos",Numérico,6,200013,6
cClassTrib,"Fornecimento dos produtos hortícolas, frutas e ovos (Anexo XV)",Numérico,6,200014,6
cClassTrib,Operação originada fora da ZFM que destine bem material industrializado,Numérico,6,200022,6
cClassTrib,Operações com bens imóveis (Alíquota reduzida em 50%),Numérico,6,200046,6
cClassTrib,Transferências entre estabelecimentos pertencentes ao mesmo contribuinte,Numérico,6,410002,6
cClassTrib,Exportações de bens e serviços,Numérico,6,410004,6
cClassTrib,Tributação monofásica sobre combustíveis,Numérico,6,620001,6
,Imposto sobre Bens e Serviços (IBS),N (Numérico),1-15,Valor do IBS calculado,7
,Contribuição sobre Bens e Serviços (CBS),N (Numérico),1-15,Valor da CBS calculada,7
,Alíquota do IBS,N (Numérico),1-5,17.00,7
,Alíquota da CBS,N (Numérico),1-5,8.80,7
,Base de Cálculo do Imposto,N (Numérico),1-15,1000.00,7
,Modelo do Documento Fiscal (NF-e/NFS-e),N (Numérico),2,55,Inferred
,Nomenclatura Comum do Mercosul,N (Numérico),8,22030000,7
,Origem da Mercadoria,N (Numérico),1,0 (Nacional),7
,Sigla da Unidade da Federação,C (Alfanumérico),2,PR,7
CST-IBS/CBS,Situações tributadas integralmente pelo IBS e CBS.,Padrão,3,000,8
cClassTrib,"Exploração de via, observado o art. 11 da Lei Complementar nº 214, de 2025.",Padrão,6,000002,8
cClassTrib,Regime automotivo - projetos incentivados (art. 311),Padrão,6,000003,8
CST-IBS/CBS,Tributação com alíquotas uniformes - operações do FGTS,Uniforme setorial,3,010,8
cClassTrib,Vendas de produtos destinados à alimentação humana (Anexo I) - Cesta Básica Nacional,Padrão,6,200003,8
cClassTrib,Fornecimento de dispositivos médicos (Anexo XII) com alíquota zero,Padrão,6,200004,8
cClassTrib,Fornecimento dos medicamentos registrados na Anvisa com alíquota zero,Padrão,6,200009,8
cClassTrib,Locação de imóveis localizados nas zonas reabilitadas - alíquota reduzida em 80%,Padrão,6,200026,8
cClassTrib,"Operações de locação, cessão onerosa e arrendamento de bens imóveis - redução 70%",Padrão,6,200027,8
cClassTrib,Fornecimento dos serviços de educação (Anexo II) - redução 60%,Padrão,6,200028,8
cClassTrib,Incorporação imobiliária submetida ao regime especial de tributação (RET),Fixa,6,220001,8
cClassTrib,Isenção para serviços de transporte público coletivo rodoviário e metroviário,Sem alíquota,6,400001,8
cClassTrib,Exportações de bens e serviços - Imunidade,Sem alíquota,6,410004,8
cClassTrib,Tributação monofásica sobre combustíveis,Uniforme setorial,6,620001,8
codTrib,Código de Tributação da DeRE para classificação de rubricas contábeis.,Numérico,9,110111001,9
pIBSUF,Alíquota de incidência do IBS (Estado/Distrito Federal) embutida no cálculo.,Alfanumérico (Variável),Não especificado,{pIBSUF},9
pIBSMun,Alíquota de incidência do IBS (Município) embutida no cálculo.,Alfanumérico (Variável),Não especificado,{pIBSMun},9
pCBS,Alíquota de incidência da CBS embutida no cálculo da Base Líquida.,Alfanumérico (Variável),Não especificado,{pCBS},9
Tabela 14,Plano de Contas Referencial – SPED para mapeamento de fatos geradores.,Referência Externa,Dinâmico,Consultar Plano ECF/ECD,9
Tabela 21 - Código,Código da Atividade de Serviços Financeiros para DeRE.,Alfanumérico,3,01A,9
Tabela 31 - Código,Código de Atividade de Planos de Assistência à Saúde.,Alfanumérico,3,03A,9
Tabela 41 - Código,Código de Atividade de Concursos de Prognósticos.,Alfanumérico,3,01C,9
vIBS,Valor do Imposto sobre Bens e Serviços (IBS),Numérico (Moeda),15 (2 decimais),150.50,10
vCBS,Valor da Contribuição Social sobre Bens e Serviços (CBS),Numérico (Moeda),15 (2 decimais),245.00,10
pIBS,Alíquota efetiva do IBS para cálculo de crédito,Numérico (Percentual),5 (2 decimais),0.17,10
pCBS,Alíquota efetiva da CBS para cálculo de crédito,Numérico (Percentual),5 (2 decimais),15.33,10
vIBSFixo,Valor fixo do IBS para Microempreendedor Individual (MEI),Numérico (Moeda),15 (3 decimais no XML),0.006,10
vCBSFixo,Valor fixo da CBS para Microempreendedor Individual (MEI),Numérico (Moeda),15 (3 decimais no XML),0.994,10
indEscrituracao,Indicador de que o documento eletrônico representa a própria escrituração,Booleano / Código,1,1,10
vBCIBS,Base de cálculo do IBS (Receita Bruta Mensal),Numérico (Moeda),15 (2 decimais),5000.00,10
vBCCBS,Base de cálculo da CBS (Receita Bruta Mensal),Numérico (Moeda),15 (2 decimais),5000.00,10
NCM/SH,Nomenclatura Comum do Mercosul / Sistema Harmonizado (Resolução Gecex 272/2021),String,8,0101.21.00,11
NBS,"Nomenclatura Brasileira de Serviços, Intangíveis e Outras Operações que Produzam Variações no Patrimônio",String,9,1.0101.10.00,11
CNPJ,Cadastro Nacional da Pessoa Jurídica - Inscrição para contribuintes e responsáveis pelo IBS/CBS,Numérico,14,12.345.678/0001-90,11
CPF,Cadastro de Pessoas Físicas - Identificação de adquirentes e prestadores pessoas físicas,Numérico,11,123.456.789-00,11
dPrevEnt,Data de previsão de entrega ou disponibilização informada no documento fiscal para fato gerador,Data,10,2027-01-01,11
{tpAmb},Identificação do ambiente de destino (Produção ou Homologação),tp,1,12 ou 12,12
{perApur},Período de apuração ao qual se referem as informações,per,7,2026-06,12
{codTrib},Código de Tributação que conecta a contabilidade com as regras fiscais,c / cod,9,101010101,12
{codBC},Código de Base de Cálculo para agregação de valores e aplicação de fórmulas,c / cod,4,1010,12
{vApur},Valor apurado da conta contábil para fins de base de cálculo,v,1-15,1000.00,12
{pCBS},Alíquota da Contribuição sobre Bens e Serviços,p,1-8,3.000000,12
{pIBSMun},Alíquota do IBS Municipal,p,1-8,1.000000,12
{indTribISS},Indicador de incidência de ISS para segregação de operações na transição,ind,1,ou 12,12
{cCta},Código da conta analítica (concatenado com desdobramento),c / cod,1-30,110101001,12
{vBCIBS},Valor da Base de Cálculo do IBS (após gross-down),v,1-15,112500.00,12
cClassTrib,"Operações do FGTS não realizadas pela Caixa Econômica Federal, observado o art. 212 da Lei Complementar nº 214, de 2025.",Numérico,6,010001,13
cClassTrib,Vendas de produtos que compõem a Cesta Básica Nacional de Alimentos (Anexo I).,Numérico,6,200003,13
cClassTrib,"Fornecimento de medicamentos relacionados no Anexo XIV da Lei Complementar nº 214, de 2025.",Numérico,6,200009,13
cClassTrib,Fornecimento de tampões e absorventes higiênicos (saúde menstrual).,Numérico,6,200013,13
cClassTrib,Bares e Restaurantes (Alíquota reduzida em 40%).,Numérico,6,200047,13
cClassTrib,Prestação de serviços de profissões intelectuais (Alíquota reduzida em 30%).,Numérico,6,200052,13
ind_RedutorBC,Indicador de Redutor de Base de Cálculo (S/N).,Alfanumérico,1,S,13
cClassTrib,Exportações de bens materiais.,Numérico,6,550001,13
cClassTrib,Tributação monofásica sobre combustíveis.,Numérico,6,620001,13
CST-IBS/CBS,Código de Situação Tributária para IBS e CBS conforme a Reforma Tributária.,Numérico,3,000,14
cClassTrib,Código de Classificação Tributária detalhado para IBS/CBS.,Numérico,6,000001,14
pRedIBS,Percentual de redução de alíquota do IBS.,Numérico,Variável,60.00,14
pRedCBS,Percentual de redução de alíquota da CBS.,Numérico,Variável,60.00,14
dIniVig,Data de início de vigência da regra tributária.,Data,10,01/01/2026,14
ind_gMonoPadrao,Indicador de tributação monofásica padrão para combustíveis.,Booleano (Bit),1,1,14
indNFSe,Indicador de aplicabilidade do código para Nota Fiscal de Serviço Eletrônica.,Booleano (Bit),1,1,14
indNFe,Indicador de aplicabilidade do código para Nota Fiscal Eletrônica (Modelo 55).,Booleano (Bit),1,1,14
indNFCe,Indicador de aplicabilidade para Nota Fiscal de Consumidor Eletrônica (Modelo 65).,Booleano (Bit),1,1,14
cClassTrib LC,Referência ao artigo da Lei Complementar nº 214/25 que fundamenta a classificação.,Alfanumérico,Variável,Art. 125,14
tpOper,"Tipo de operação do evento (Inclusão, Alteração ou Exclusão).",Numérico,1,1,15
nrInsc,Número de inscrição do contribuinte (CNPJ raiz).,Caractere,8,12345678,15
iniValid,Data de início da validade das informações no formato AAAA-MM-DD.,Data,10,2026-01-01,15
regTribPrinc,Regime de tributação principal do contribuinte (IBS/CBS).,Numérico,1,1,15
codTrib,"Código de tributação para fins de IBS, CBS e IS.",Numérico,9,220110001,15
indTribISS,Indicador de sujeição ou vinculação ao ISSQN.,Numérico,1,0,15
perApur,Período de apuração (Ano e Mês da competência da declaração).,Data,7,2026-01,15
vApur,Valor base sobre o qual serão aplicadas as regras de tributação.,Numérico,4-18,1500.50,15
nrRecibo,Número do recibo do arquivo a ser alterado ou excluído.,Caractere,31,1.1.0000000000000000000,15
idAtivo,Número de identificação do título ou ativo financeiro.,Caractere,1-30,ATIVO123,15
tpRetPisCofins,Tipo de Retenção de PIS/Cofins e CSLL para evitar repercussão na base de cálculo do IBS e da CBS.,Numérico,1,1,16
finNFSe,Indicador de finalidade da NFS-e (0: Regular; 1: Nota de crédito; 2: Nota de débito).,Numérico,1,0,16
CNPJ (Alfanumérico),Conversão do campo de CNPJ do tipo numérico para o formato alfanumérico.,Alfanumérico,14,ABC12345000199,16
indFinal,Indicador de operação para uso ou consumo pessoal (limita creditamento).,Numérico,1,1,16
opSimpNac,"Opção do Simples Nacional, incluindo o valor 4 para Optante Pendente.",Numérico,1,4,16
regApIBSCBSSN,Regime de apuração do IBS/CBS escolhido pelo optante do Simples Nacional.,Numérico,1,1,16
subitem 99.04,Código para identificação de fatos geradores de locação de bens móveis.,Numérico,4 ou 6,99.04.01,16
codTrib,"Código de Tributação que define a regra fiscal (incidência, dedução, isenção) da conta.",N (Numérico),9,123456789,17
iniValid,Mês e ano de início da validade das informações do evento (Início da vigência).,D (Data),7 (AAAA-MM),2026-01,17
fimValid,Mês e ano de término da validade das informações do evento (Fim da vigência).,D (Data),7 (AAAA-MM),2026-12,17
planoCtaRef,"Indicador do Plano de Contas Referencial adotado (COSIF, ANS, SUSEP, SPED).",N (Numérico),1,1 (COSIF),17
cCtaInterna,Código da conta analítica na escrituração interna do contribuinte.,C (Caractere),1-60,1.01.01.01.001,17
cDbrMista,Código de desdobramento para contas que possuem naturezas fiscais mistas.,N (Numérico),3,001,17
indTribISS,Indicador de incidência de ISSQN para segregação de alíquotas de IBS/CBS.,N (Numérico),1,0 (Não sujeita ao ISS),17
perApur,Período de apuração ao qual se refere a declaração.,D (Data),7 (AAAA-MM),2026-02,17
tpOper,"Tipo de operação do evento: Inclusão, Alteração ou Exclusão.",N (Numérico),1,1 (Inclusão),17
nrRecibo,Número do recibo que atesta o processamento com sucesso e cumprimento da obrigação.,C (Caractere),1-40,123.456.789-00,17
,"Finalidade de emissão da NF-e (1=Normal, 2=Complementar, 3=Ajuste, 4=Devolução, 5=Crédito, 6=Débito)",Inteiro,1,1,18
,"Tipo de Operação (0=Entrada, 1=Saída)",Inteiro,1,1,18
,Chave de acesso da Nota Fiscal Eletrônica,Alfanumérico,44,3523...,18
,Número de inscrição do adquirente ou fornecedor no CNPJ,Numérico,14,00.000.000/0001-00,18
mod,Modelo do Documento Fiscal (ex: 55 para NF-e),Inteiro,2,55,18
NCM,Nomenclatura Comum do Mercosul (utilizado para validação de crédito de consumo pessoal),Numérico,8,71131100,18
vIBS,Valor do Imposto sobre Bens e Serviços (IBS),Numérico (Decimal),15 (13 inteiros e 2 decimais),100.50,Inferred
vCBS,Valor da Contribuição sobre Bens e Serviços (CBS),Numérico (Decimal),15 (13 inteiros e 2 decimais),50.25,Inferred
Id,"Identificador único do evento XML, utilizado para assinatura e controle de unicidade.",Alfanumérico,Até 36,ID1123456780001952026081814300500001,19
Signature,Assinatura Digital no padrão XMLDSig (Enveloped Signature).,Estrutura XML,Variável,,19
X509Certificate,Certificado digital do assinante em codificação Base64.,Texto (Base64),Variável,MIIFzCCA7+gAwIBAgIQ...,19
cnpjDeclarante,Número do CNPJ base do contribuinte declarante.,Numérico,8,12345678,19
Reference URI,Referência ao atributo Id do elemento assinado no XML.,Texto,Variável,#ID123456789...,19
DigestMethod,Algoritmo de resumo criptográfico utilizado (SHA-256).,Texto (URL),Variável,http://www.w3.org/2001/04/xmlenc#sha256,19
serie,Série do Documento Fiscal,N,1 – 3,970-989 (Faixa PAA),20
procEmi,Processo de emissão da NF-e (4=Emissão por PAA),N,1,4,20
CNPJPAA,CNPJ do Provedor de Assinatura e Autorização,C,14,00000000000000,20
tpEvento,Código do evento (Cancelamento/CC-e via PAA),N,6,110111,20
CST,Código de Situação Tributária (IBS/CBS),Numérico,3,000,21
cClassTrib,Código de Classificação Tributária,Numérico,6,000001,21
CST 000,Tributação integral,Numérico,3,000,21
CST 010,Tributação com alíquotas uniformes,Numérico,3,010,21
CST 011,Tributação com alíquotas uniformes reduzidas,Numérico,3,011,21
CST 200,Alíquota reduzida,Numérico,3,200,21
CST 410,Imunidade e não incidência,Numérico,3,410,21
CST 620,Tributação Monofásica,Numérico,3,620,21
Tipo de Alíquota,"Identificador do tipo de alíquota aplicada (Fixa, Padrão, etc.)",Numérico,1,2,21
cClassTrib 000001,Situações tributadas integralmente pelo IBS e CBS,Numérico,6,000001,21
cClassTrib 410004,Exportações de bens e serviços,Numérico,6,410004,21
evtInfoContrib,Evento utilizado para manutenção de informações cadastrais ou estruturais de contribuintes do IBS/CBS.,XML estruturado (Evento de Tabela),Variável (conforme XSD),http://www.dere.gov.br/schemas/evtInfoContrib/v1_0_1,22
Id,"Atributo identificador único do evento, utilizado como referência para a assinatura digital.",ID / String,Variável (conforme XSD),ID123456789...,22
X509Certificate,Elemento que contém as informações do certificado digital utilizado na assinatura (Padrão XMLDSig).,Base64,Variável,MIIGpDCCBYygAwIBAgIQ...,22
protocolo,Número identificador retornado após a transmissão bem-sucedida de um lote de eventos.,String / Parâmetro de URL,Não especificado na fonte,1.23456789,22
Authorization,Cabeçalho HTTP para autenticação nas APIs utilizando o padrão Bearer Token do Receita Integra.,String (Cabeçalho),Variável,Bearer TOKEN_RECEITA_INTEGRA,22
Content-Type,Indica o formato do corpo da requisição enviada para a API.,String (Cabeçalho),15,application/xml,22
expires_in,Tempo de validade do token de acesso em segundos.,Inteiro (JSON),Variável,3600,22
access_token,Token de acesso OAuth 2.0 utilizado para autenticar as chamadas às APIs da DeRE.,String (JSON),Variável,TOKEN_RETORNADO,22
cProd,Código do produto ou serviço,Alfanumérico,1-60,123456,23 (Inferred)
vBC,Valor da Base de Cálculo do Imposto,Numérico,1-15 (2 casas decimais),100.00,23
pICMS (ou pIBS/CBS),Alíquota do imposto,Numérico,1-7 (2 a 4 casas decimais),1.65,23
vICMS (ou vIBS/CBS),Valor do Imposto,Numérico,1-15 (2 casas decimais),10.00,23
CST,Código de Situação Tributária,Numérico,2-3,00,23 (Inferred)
NCM,Nomenclatura Comum do Mercosul,Numérico,8,84713012,23 (Inferred)
CFOP,Código Fiscal de Operações e Prestações,Numérico,4,5102,23 (Inferred)
indEscala,Indicador de Produção em Escala Relevante,Texto/Enumerado,1,S,23 (Inferred)
vCredPresumido,Valor do Crédito Presumido,Numérico,1-15,90.00,23
IBS,"Imposto sobre Bens e Serviços - Tributo não cumulativo cobrado sobre o consumo, destacado no documento fiscal.",Numérico / Decimal,15 (com 2 casas decimais),150.00,24
CBS,"Contribuição sobre Bens e Serviços - Tributo federal não cumulativo sobre o consumo, cobrado por fora.",Numérico / Decimal,15 (com 2 casas decimais),85.50,24
vAliqIBS,Alíquota do IBS aplicada sobre a base de cálculo na operação de saída.,Numérico / Decimal,5 (com 2 ou 4 casas decimais),17.70,24
vAliqCBS,Alíquota da CBS aplicada sobre a base de cálculo na operação de saída.,Numérico / Decimal,5 (com 2 ou 4 casas decimais),8.80,24
splitPayment,Mecanismo de segregação e recolhimento automático do tributo pela instituição financeira na liquidação.,Booleano / Indicador,1,1,24
cCredApro,Conta específica para controle de crédito fiscal a apropriar (conforme Decreto nº 12.955/2026).,Alfanumérico,60,CRED_IBS_2026,24
f Gerador,"Identificação do fato gerador ocorrido, especialmente relevante para o período de teste operacional.",Data (AAAA-MM-DD),10,2026-01-15,24
vCBS,"Valor da Contribuição sobre Bens e Serviços (CBS). Campo destinado ao destaque da alíquota-teste de 0,9% para validação sistêmica.",Numérico (Decimal),15 (até 2 casas decimais),0.90,25
vIBS,"Valor do Imposto sobre Bens e Serviços (IBS). Campo destinado ao destaque da alíquota-teste de 0,1% para validação subnacional.",Numérico (Decimal),15 (até 2 casas decimais),0.10,25
pCBS,Alíquota da CBS em percentual. Utilizada para o cálculo do valor a ser retido ou destacado.,Numérico (Decimal),5 (até 4 casas decimais),0.0090,25
pIBS,Alíquota do IBS em percentual. Utilizada para o cálculo do valor a ser retido ou destacado.,Numérico (Decimal),5 (até 4 casas decimais),0.0010,25
NCM,Nomenclatura Comum do Mercosul. Fundamental para classificação e verificação de alíquotas zero ou reduzidas.,Numérico,8,30049099,25
NBS,Nomenclatura Brasileira de Serviços. Utilizada na prestação de serviços para fins de incidência do novo IVA.,Alfanumérico,9,1.01.01,25
indSplitPayment,Indicador de Split Payment. Identifica se a operação está sujeita à separação instantânea do imposto no momento do pagamento.,Booleano/Indicador,1,1 (Sim),25
CST,Código de Situação Tributária do IBS e da CBS,Numérico,3,000 (Tributação integral),26
cClassTrib,Classificação Tributária do IBS e da CBS,Numérico,Não consta na fonte,Os três primeiros dígitos são idênticos ao CST,26
cCredPres,Código da Classificação do Crédito Presumido do IBS e da CBS,Numérico,Não consta na fonte,Código 1 (Crédito presumido aquisição bens/serviços produtor rural),26
pRedIBS,Percentual de redução da alíquota do IBS,Percentual,Não consta na fonte,Redução de 60%,26
pRedCBS,Percentual de redução da alíquota da CBS,Percentual,Não consta na fonte,Redução de 30%,26
dIniVig,Data inicial da vigência do cClassTrib,Data,Não consta na fonte,2026-01-01,26
dFimVig,Data final da vigência do cClassTrib,Data,Não consta na fonte,9999-12-31,26
tpRBSN,Formas de receita bruta aplicáveis aos contribuintes do Simples Nacional,Texto / Código,Não consta na fonte,Não consta na fonte,26
tpAmb,"Identificação do Ambiente (1-Produção, 2-Produção Restrita/Homologação)",Numérico,1,1,27
tpOper,"Tipo de Operação (1-Inclusão, 2-Alteração, 3-Exclusão)",Numérico,1,1,27
codTrib,Código de Tributação IBS/CBS associado à conta analítica,Numérico,9,120130001,27
nrRecibo,Número do recibo do evento que está sendo alterado ou excluído,Alfanumérico,31,1011-202606-0000000000000000001,27
cCta,Código da conta contábil (concatenação da conta interna com desdobramento),Alfanumérico,Não especificado,1010101000,27
indCta,"Indicador da natureza da conta (S-Sintética, A-Analítica)",Alfanumérico / Caractere,1,A,27
perApur,Período de Apuração do evento fiscal,Alfanumérico (AAAAMM),6,202606,27
nrInsc,Número de Inscrição do Contribuinte (CNPJ),Alfanumérico,14,12345678000190,27
id,Identificador único do evento gerado pelo contribuinte,Alfanumérico,42,DeRE10111123456780001902026062210000000001,27
vSaldoFinal,Valor do saldo final da conta contábil no período,Numérico (Decimal),Não especificado,1500.50,27
IBS,Imposto sobre Bens e Serviços (Nova classificação da Reforma Tributária),Inferred,Inferred,CST 01 (Operação Tributada),"28, 29"
CBS,Contribuição Social sobre Bens e Serviços (Nova classificação da Reforma Tributária),Inferred,Inferred,CST 01 (Operação Tributada),"28, 29"
vProd,Valor Total dos Produtos e Serviços,Inferred,1-15 (2 decimais),5000.00,29
CST,Código de Situação Tributária (Adequado para IBS/CBS),Inferred,2,00,"28, 29"
vBC,Base de Cálculo do Imposto,Inferred,1-15 (2 decimais),5000.00,29
pIBS,Alíquota do IBS (Parâmetro de Validação ERP),Inferred,1-5 (2 ou 4 decimais),17.00,"28, 29"
pCBS,Alíquota da CBS (Parâmetro de Validação ERP),Inferred,1-5 (2 ou 4 decimais),8.80,"28, 29"
vIBS,Valor do IBS apurado,Inferred,1-15 (2 decimais),850.00,29
vCBS,Valor da CBS apurada,Inferred,1-15 (2 decimais),440.00,29
mod,Modelo do Documento Fiscal (NF-e/NFS-e),Inferred,2,55,"28, 29"
CST-IBS/CBS,Código de Situação Tributária do IBS e da CBS,N,3,000 (Tributação integral),30
ind_gIBS CBS,Indicador de exigência de guia IBS e CBS,N,1,1 (Exige),30
ind_gIBS CBSMono,Indicador de exigência de guia IBS/CBS para tributação monofásica,N,1,0 (Não é permitido),30
ind_gRed,Indicador de exigência de alíquota reduzida,N,1,0,30
ind_gDif,Indicador de exigência de diferimento,N,1,1,30
ind_gTra nsfCred,Indicador de exigência de transferência de crédito,N,1,0,30
ind_gCredPre sIBSZFM,Indicador de exigência de crédito presumido de IBS na ZFM,N,1,0,30
ind_gAjusteCompet,Indicador de exigência de ajuste de competência,N,1,0,30
ind_RedutorBC,Indicador de exigência de redutor de base de cálculo,N,1,1,30
CPF,Cadastro de Pessoas Físicas,N (Inferred),11 (Inferred),12345678901,31
CNPJ,Cadastro Nacional da Pessoa Jurídica,N (Inferred),14 (Inferred),12345678000190,31
vCBS (Inferred),Valor da Contribuição Social sobre Bens e Serviços,Numérico (Inferred),"13,2 (Inferred)",150.00,32
vIBS (Inferred),Valor do Imposto sobre Bens e Serviços,Numérico (Inferred),"13,2 (Inferred)",100.00,32
vIS (Inferred),Valor do Imposto Seletivo,Numérico (Inferred),"13,2 (Inferred)",50.00,32
CNPJ,Cadastro Nacional da Pessoa Jurídica (Alfanumérico),Alfanumérico,14,ABC12345000199,32
vSplitPayment (Inferred),Valor destinado ao Split Payment,Numérico (Inferred),"13,2 (Inferred)",250.00,32
